series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
hiv_fraction,HIV/AIDS fraction,hiv,comparison,natural,2,172,fraction,proportion,HIV/AIDS Fraction,,FALSE,TRUE,3003,Configured legacy-compatible model-comparison series.
injuries_deaths,Injuries,injury,comparison,injury,171,,deaths,deaths,Injuries Number,,FALSE,TRUE,3101,Configured legacy-compatible model-comparison series.
injuries_fraction,Injuries fraction,injury,comparison,injury,171,172,fraction,proportion,Injuries Percent;Injuries Fraction,,FALSE,TRUE,3102,Configured legacy-compatible model-comparison series.
transport_deaths,Transport injuries,injury,comparison,injury,126;127,,deaths,deaths,Transport injuries Number,,FALSE,TRUE,3103,Configured legacy-compatible model-comparison series.
transport_fraction,Transport injuries fraction,injury,comparison,injury,126;127,172,fraction,proportion,Transport injuries Percent;Transport injuries Fraction,,FALSE,TRUE,3104,Configured legacy-compatible model-comparison series.
unintentional_deaths,Other unintentional injuries excluding transport,injury,comparison,injury,128;129;130;131;132;133;134;135;136;137,,deaths,deaths,Unintentional injuries Number,,FALSE,TRUE,3105,Legacy comparison category excluding road and other transport injuries.
unintentional_fraction,Other unintentional injuries excluding transport fraction,injury,comparison,injury,128;129;130;131;132;133;134;135;136;137,172,fraction,proportion,Unintentional injuries Percent;Unintentional injuries,,FALSE,TRUE,3106,Legacy comparison category excluding road and other transport injuries.
interpersonal_deaths,Interpersonal violence,injury,comparison,injury,139,,deaths,deaths,Interpersonal violence Number,,FALSE,TRUE,3107,Configured legacy-compatible model-comparison series.
interpersonal_fraction,Interpersonal violence fraction,injury,comparison,injury,139,172,fraction,proportion,Interpersonal violence Percent;Interpersonal violence Fraction,,FALSE,TRUE,3108,Configured legacy-compatible model-comparison series.
self_harm_deaths,Self-harm,injury,comparison,injury,138,,deaths,deaths,Self-harm Number,,FALSE,TRUE,3109,Configured legacy-compatible model-comparison series.
self_harm_fraction,Self-harm fraction,injury,comparison,injury,138,172,fraction,proportion,Self-harm Percent;Self-harm Fraction,,FALSE,TRUE,3110,Configured legacy-compatible model-comparison series.
